"","id","sex","age","region","syldur","nsyl"
"1",60,1,38,"W",0.194,13.56
"2",61,0,53,"W",0.2425,10.76
"3",62,1,36,"W",0.2331,11.73
"4",112,1,33,"W",0.2633,11.67
"5",113,0,46,"M",0.2357,12.46
"6",114,1,40,"S",0.2293,12.35
"7",115,0,54,"S",0.4191,7.51
"8",116,0,29,"S",0.2582,8.59
"9",117,0,30,"M",0.27,11.21
"10",118,1,49,"M",0.2605,8.68
"11",119,0,28,"N",0.2856,7.85
"12",120,0,47,"N",0.3109,7.55
"13",121,1,53,"N",0.2778,7.2
"14",122,1,38,"N",0.2465,13.23
"15",123,0,36,"N",0.265,10.79
"16",124,0,28,"N",0.25,12.47
"17",125,0,32,"N",0.3132,7.63
"18",126,1,52,"M",0.2356,12.08
"19",127,1,47,"M",0.2208,12.14
"20",128,0,51,"M",0.2985,7.71
"21",129,0,46,"S",0.2977,7.6
"22",130,1,59,"N",0.2741,7.14
"23",131,1,54,"N",0.2752,7.12
"24",132,1,46,"N",0.26,7.7
"25",133,1,37,"N",0.2551,8.74
"26",134,0,33,"N",0.2543,6.96
"27",135,0,49,"N",0.2594,11.55
"28",136,0,54,"N",0.3055,7.71
"29",137,1,54,"N",0.221,12.19
"30",138,0,51,"S",0.2595,11.08
"31",139,1,39,"S",0.2638,9.19
"32",140,1,29,"S",0.2376,12.33
"33",141,0,58,"S",0.324,8.03
"34",142,1,59,"S",0.2927,5.45
"35",143,0,53,"S",0.2535,5.8
"36",144,1,56,"S",0.233,6.19
"37",145,1,50,"M",0.2669,7.14
"38",146,1,38,"M",0.2237,8.72
"39",147,1,51,"S",0.2904,6.13
"40",148,1,48,"S",0.2357,6.17
"41",149,1,57,"S",0.2741,6.71
"42",150,0,47,"M",0.295,7.64
"43",151,1,50,"W",0.2288,6.91
"44",152,1,58,"W",0.2351,7.11
"45",153,0,39,"W",0.2676,6.36
"46",154,1,53,"W",0.265,6.77
"47",155,0,46,"W",0.2688,7.17
"48",156,0,46,"W",0.1938,8.39
"49",157,1,54,"W",0.2727,7.42
"50",158,1,40,"W",0.2131,7.99
"51",159,0,25,"W",0.2152,8.11
"52",160,0,26,"W",0.2104,8.54
"53",161,0,27,"W",0.2459,8.89
"54",162,1,53,"W",0.1923,10.49
"55",163,0,33,"W",0.2287,7.6
"56",164,0,50,"W",0.2786,5.69
"57",165,0,56,"W",0.2266,7.38
"58",166,0,40,"M",0.2853,5.2
"59",167,1,49,"M",0.2432,7.2
"60",352,0,51,"M",0.2599,6.84
"61",353,0,34,"M",0.2533,5.54
"62",354,1,39,"N",0.2439,7.61
"63",355,0,49,"N",0.3082,4.89
"64",356,1,40,"N",0.2039,7.8
"65",357,0,51,"N",0.2939,6.35
"66",358,1,37,"M",0.2255,6.68
"67",359,0,33,"M",0.249,7.1
"68",360,1,31,"S",0.2632,5.26
"69",379,1,35,"M",0.1897,9.12
"70",380,0,52,"M",0.2837,5.74
"71",381,0,27,"M",0.277,4.45
"72",382,1,39,"S",0.1977,10.03
"73",383,0,40,"S",0.2831,6.64
"74",384,0,21,"S",0.2573,7.14
"75",385,1,38,"M",0.2487,7.28
"76",386,1,25,"N",0.2707,7.78
"77",387,0,28,"S",0.2269,7.89
"78",388,0,25,"S",0.2621,5.56
"79",389,1,40,"M",0.2314,7.86
"80",391,1,34,"W",0.2225,8.89
